Script Nodes Iterations Seconds
New 452 100 0.906058
New 452 100 0.92167
New 452 100 1.140383
New 452 100 0.906085
Old 452 100 238.841796
Old 452 100 240.961761
Old 452 100 232.69085
Old 452 75 167.63332
Old 452 75 170.795607
Old 452 75 170.038867
New 452 75 0.640487
New 452 75 0.640443
New 452 75 0.749806
Old 452 50 113.580862
Old 452 50 112.320608
Old 452 50 111.846532
New 452 50 0.421781
New 452 50 0.421751
New 452 50 0.421748
Old 452 25 56.193978
Old 452 25 55.321208
Old 452 25 55.628188
New 452 25 0.203112
New 452 25 0.203079
New 452 25 0.203044
Old 316 100 157.110799
Old 316 100 158.3355
Old 316 100 155.883994
New 316 100 0.843535
New 316 100 0.890402
New 316 100 0.843572
Old 316 75 117.557466
Old 316 75 117.835253
Old 316 75 117.058454
New 316 75 0.640476
New 316 75 0.609233
New 316 75 0.656142
New 316 50 0.468637
New 316 50 0.421775
New 316 50 0.421774
Old 316 50 77.710103
Old 316 50 77.809982
Old 316 50 80.806649
New 316 50 0.421745
New 316 50 0.468609
New 316 50 0.416742
Old 316 25 39.181976
Old 316 25 38.791255
Old 316 25 38.412935
New 316 25 0.203078
New 316 25 0.203108
New 316 25 0.20308
Old 252 100 123.688947
Old 252 100 124.069336
Old 252 100 121.921709
New 252 100 0.827935
New 252 100 0.843555
New 252 100 0.843523
Old 252 75 94.41463
Old 252 75 92.98912
Old 252 75 92.749931
New 252 75 0.609267
New 252 75 0.624854
New 252 75 0.656515
Old 252 50 61.563934
Old 252 50 61.257549
Old 252 50 61.579028
New 252 50 0.406157
New 252 50 0.40616
New 252 50 0.40619
Old 252 25 31.055244
Old 252 25 30.853892
Old 252 25 30.885488
New 252 25 0.187406
New 252 25 0.203049
New 252 25 0.203049
Old 132 100 64.873687
Old 132 100 64.378433
Old 132 100 66.091101
New 132 100 0.827933
New 132 100 0.941278
New 132 100 0.839807
Old 132 75 48.974785
Old 132 75 48.405766
Old 132 75 48.97121
New 132 75 0.624898
New 132 75 0.624854
New 132 75 0.640476
Old 132 50 32.3518
Old 132 50 32.829915
Old 132 50 33.551712
New 132 50 0.406155
New 132 50 0.421778
New 132 50 0.421777
Old 132 25 16.182771
Old 132 25 16.353433
Old 132 25 15.934383
New 132 25 0.203051
New 132 25 0.213015
New 132 25 0.218667
